,From,To,Type
514,"(6, 8, 8)","(6, 8, 8)",Calculate
515,"(5, 9, 6)","(6, 9, 6)",Move data
516,"(6, 8, 6)","(6, 9, 6)",Move data
517,"(5, 9, 7)","(6, 9, 7)",Move data
518,"(6, 8, 7)","(6, 9, 7)",Move data
519,"(6, 9, 6)","(6, 9, 7)",Move data
520,"(5, 9, 8)","(6, 9, 8)",Move data
521,"(6, 8, 8)","(6, 9, 8)",Move data
522,"(6, 9, 7)","(6, 9, 8)",Move data
523,"(5, 9, 9)","(6, 9, 9)",Move data
524,"(6, 9, 8)","(6, 9, 9)",Move data
525,"(6, 9, 9)","(6, 9, 9)",Calculate
526,"(5, 10, 6)","(6, 10, 6)",Move data
527,"(6, 9, 6)","(6, 10, 6)",Move data
528,"(5, 10, 7)","(6, 10, 7)",Move data
529,"(6, 9, 7)","(6, 10, 7)",Move data
530,"(6, 10, 6)","(6, 10, 7)",Move data
531,"(5, 10, 8)","(6, 10, 8)",Move data
532,"(6, 9, 8)","(6, 10, 8)",Move data
533,"(6, 10, 7)","(6, 10, 8)",Move data
534,"(5, 10, 9)","(6, 10, 9)",Move data
535,"(6, 9, 9)","(6, 10, 9)",Move data
536,"(6, 10, 8)","(6, 10, 9)",Move data
537,"(5, 10, 10)","(6, 10, 10)",Move data
538,"(6, 10, 9)","(6, 10, 10)",Move data
539,"(6, 10, 10)","(6, 10, 10)",Calculate
540,"(6, 7, 7)","(7, 7, 7)",Move data
541,"(6, 8, 7)","(7, 8, 7)",Move data
542,"(7, 7, 7)","(7, 8, 7)",Move data
543,"(6, 8, 8)","(7, 8, 8)",Move data
544,"(7, 8, 7)","(7, 8, 8)",Move data
545,"(7, 8, 8)","(7, 8, 8)",Calculate
546,"(6, 9, 7)","(7, 9, 7)",Move data
547,"(7, 8, 7)","(7, 9, 7)",Move data
548,"(6, 9, 8)","(7, 9, 8)",Move data
549,"(7, 8, 8)","(7, 9, 8)",Move data
550,"(7, 9, 7)","(7, 9, 8)",Move data
551,"(6, 9, 9)","(7, 9, 9)",Move data
552,"(7, 9, 8)","(7, 9, 9)",Move data
553,"(7, 9, 9)","(7, 9, 9)",Calculate
554,"(6, 10, 7)","(7, 10, 7)",Move data
555,"(7, 9, 7)","(7, 10, 7)",Move data
556,"(6, 10, 8)","(7, 10, 8)",Move data
557,"(7, 9, 8)","(7, 10, 8)",Move data
558,"(7, 10, 7)","(7, 10, 8)",Move data
559,"(6, 10, 9)","(7, 10, 9)",Move data
560,"(7, 9, 9)","(7, 10, 9)",Move data
561,"(7, 10, 8)","(7, 10, 9)",Move data
562,"(6, 10, 10)","(7, 10, 10)",Move data
563,"(7, 10, 9)","(7, 10, 10)",Move data
564,"(7, 10, 10)","(7, 10, 10)",Calculate
565,"(7, 8, 8)","(8, 8, 8)",Move data
566,"(7, 9, 8)","(8, 9, 8)",Move data
567,"(8, 8, 8)","(8, 9, 8)",Move data
568,"(7, 9, 9)","(8, 9, 9)",Move data
569,"(8, 9, 8)","(8, 9, 9)",Move data
570,"(8, 9, 9)","(8, 9, 9)",Calculate
571,"(7, 10, 8)","(8, 10, 8)",Move data
572,"(8, 9, 8)","(8, 10, 8)",Move data
573,"(7, 10, 9)","(8, 10, 9)",Move data
574,"(8, 9, 9)","(8, 10, 9)",Move data
575,"(8, 10, 8)","(8, 10, 9)",Move data
576,"(7, 10, 10)","(8, 10, 10)",Move data
577,"(8, 10, 9)","(8, 10, 10)",Move data
578,"(8, 10, 10)","(8, 10, 10)",Calculate
579,"(8, 9, 9)","(9, 9, 9)",Move data
580,"(8, 10, 9)","(9, 10, 9)",Move data
581,"(9, 9, 9)","(9, 10, 9)",Move data
582,"(8, 10, 10)","(9, 10, 10)",Move data
583,"(9, 10, 9)","(9, 10, 10)",Move data
584,"(9, 10, 10)","(9, 10, 10)",Calculate
585,"(9, 10, 10)","(10, 10, 10)",Move data
586,"(10, 10, 10)","(10, 10, 10)",Calculate
